sim,population,hospitals,mobilehomes,psubstations,tors
2840,208,0,0,0,1.0
2841,288,0,0,0,1.0
2842,32,0,0,0,1.0
2843,80,0,0,0,1.0
2844,496,0,50,0,2.0
2845,96,0,0,1,1.0
2846,0,0,0,0,0.0
2847,0,0,0,0,0.0
2848,0,0,0,0,0.0
2849,864,0,0,0,1.0
2850,416,0,0,0,2.0
2851,800,0,0,1,4.0
2852,0,0,0,0,0.0
2853,240,0,0,0,2.0
2854,0,0,0,0,0.0
2855,0,0,0,0,0.0
2856,64,0,25,0,2.0
2857,656,0,0,0,4.0
2858,224,0,0,1,1.0
2859,0,0,0,0,0.0
2860,0,0,0,0,0.0
2861,0,0,0,0,0.0
2862,0,0,0,0,0.0
2863,176,0,0,0,1.0
2864,0,0,0,0,0.0
2865,0,0,0,0,0.0
2866,0,0,0,0,0.0
2867,96,0,0,0,1.0
2868,160,0,0,0,1.0
2869,0,0,0,0,0.0
2870,0,0,0,0,0.0
2871,0,0,0,0,0.0
2872,0,0,0,0,0.0
2873,1184,0,75,0,4.0
2874,0,0,0,0,0.0
2875,0,0,0,0,0.0
2876,0,0,0,0,0.0
2877,112,0,0,0,1.0
2878,0,0,0,0,0.0
2879,0,0,0,0,0.0
2880,0,0,0,0,0.0
2881,0,0,0,0,0.0
2882,112,0,0,0,1.0
2883,0,0,0,0,0.0
2884,0,0,0,0,0.0
2885,0,0,0,0,1.0
2886,0,0,0,0,0.0
2887,0,0,0,0,0.0
2888,624,0,0,1,1.0
2889,3328,0,0,1,5.0
2890,0,0,0,0,0.0
2891,576,0,0,0,1.0
2892,0,0,0,0,0.0
2893,0,0,0,0,0.0
2894,0,0,0,0,0.0
2895,0,0,0,0,0.0
2896,0,0,0,0,0.0
2897,16,0,0,0,2.0
2898,912,0,0,0,1.0
2899,0,0,0,0,0.0
2900,1840,0,0,0,2.0
2901,0,0,0,0,0.0
2902,0,0,0,0,0.0
2903,0,0,0,0,0.0
2904,0,0,0,0,0.0
2905,0,0,0,0,0.0
2906,128,0,0,0,1.0
2907,0,0,0,0,0.0
2908,176,0,0,1,2.0
2909,880,0,0,0,2.0
2910,576,0,0,1,2.0
2911,0,0,0,0,0.0
2912,0,0,0,0,0.0
2913,0,0,0,0,0.0
2914,0,0,0,0,0.0
2915,0,0,0,0,0.0
2916,16,0,0,0,1.0
2917,16000,1,0,2,1.0
2918,128,0,0,0,2.0
2919,0,0,0,0,0.0
2920,0,0,0,0,0.0
2921,368,0,0,0,1.0
2922,0,0,0,0,0.0
2923,0,0,0,0,0.0
2924,0,0,0,0,0.0
2925,8688,1,0,2,3.0
2926,0,0,0,0,0.0
2927,176,0,0,0,2.0
2928,64,0,0,0,1.0
2929,0,0,0,0,0.0
2930,0,0,0,0,0.0
2931,464,0,0,0,1.0
2932,1040,0,0,0,2.0
2933,0,0,0,0,0.0
2934,688,0,0,0,1.0
2935,0,0,0,0,0.0
2936,3872,0,0,1,3.0
2937,0,0,0,0,0.0
2938,0,0,0,0,0.0
2939,0,0,0,0,0.0
2940,0,0,0,0,0.0
2941,0,0,0,0,0.0
2942,176,0,0,0,1.0
2943,0,0,0,0,0.0
2944,0,0,0,0,0.0
2945,32,0,0,0,1.0
2946,0,0,0,0,0.0
2947,160,0,0,0,2.0
2948,0,0,0,0,0.0
2949,0,0,0,0,0.0
2950,0,0,0,0,0.0
2951,752,0,0,0,1.0
2952,0,0,0,0,0.0
2953,0,0,0,0,0.0
2954,0,0,0,0,0.0
2955,0,0,0,0,0.0
2956,0,0,0,0,0.0
2957,64,0,0,0,1.0
2958,0,0,0,0,0.0
2959,272,0,0,0,1.0
2960,832,0,0,0,1.0
2961,0,0,0,0,0.0
2962,0,0,0,0,0.0
2963,0,0,0,0,0.0
2964,0,0,0,0,0.0
2965,0,0,0,0,0.0
2966,0,0,0,0,0.0
2967,1936,0,0,0,1.0
2968,0,0,0,0,0.0
2969,0,0,0,0,0.0
2970,0,0,0,0,0.0
2971,0,0,0,0,0.0
2972,80,0,0,0,1.0
2973,0,0,0,0,0.0
2974,0,0,0,0,0.0
2975,0,0,0,0,0.0
2976,112,0,0,0,1.0
2977,80,0,0,0,1.0
2978,48,0,0,0,1.0
2979,592,0,0,0,2.0
2980,304,0,0,1,1.0
2981,656,0,0,0,2.0
2982,0,0,0,0,0.0
2983,832,0,0,1,1.0
2984,0,0,0,0,0.0
2985,0,0,0,0,0.0
2986,688,0,0,0,3.0
2987,0,0,0,0,1.0
2988,3360,0,0,1,5.0
2989,192,0,0,0,1.0
2990,256,0,0,1,1.0
2991,0,0,0,0,0.0
2992,240,0,0,0,1.0
2993,0,0,0,0,0.0
2994,0,0,0,0,0.0
2995,0,0,0,0,0.0
2996,0,0,0,0,0.0
2997,464,0,0,0,2.0
2998,816,0,0,0,2.0
2999,0,0,0,0,0.0
3000,0,0,0,0,0.0
3001,0,0,0,0,0.0
3002,0,0,0,0,0.0
3003,0,0,0,0,0.0
3004,0,0,0,0,0.0
3005,0,0,0,0,0.0
3006,1136,0,0,1,1.0
3007,0,0,0,0,0.0
3008,0,0,0,0,0.0
3009,0,0,0,0,0.0
3010,2464,0,25,3,2.0
3011,0,0,0,0,0.0
3012,0,0,0,0,0.0
3013,144,1,150,0,1.0
3014,1360,0,0,0,3.0
3015,288,1,25,3,1.0
3016,96,0,0,1,1.0
3017,0,0,0,0,0.0
3018,0,0,0,0,0.0
3019,0,0,0,0,0.0
3020,0,0,0,0,0.0
3021,0,0,0,0,0.0
3022,0,0,0,0,0.0
3023,0,0,0,0,0.0
3024,0,0,0,0,0.0
3025,0,0,0,0,0.0
3026,0,0,0,0,0.0
3027,0,0,0,0,0.0
3028,320,0,0,0,2.0
3029,0,0,0,0,0.0
3030,0,0,0,0,0.0
3031,0,0,0,0,0.0
3032,0,0,0,0,0.0
3033,1536,0,25,3,1.0
3034,0,0,0,0,0.0
3035,0,0,0,0,0.0
3036,288,0,50,1,1.0
3037,0,0,0,0,0.0
3038,0,0,0,0,0.0
3039,0,0,0,0,0.0
3040,0,0,0,0,0.0
3041,0,0,0,0,0.0
3042,6944,0,0,2,1.0
3043,2688,0,0,0,2.0
3044,0,0,0,0,0.0
3045,0,0,0,0,0.0
3046,1200,0,0,0,1.0
3047,0,0,0,0,0.0
3048,0,0,0,0,0.0
3049,0,0,0,0,0.0
3050,0,0,0,0,0.0
3051,0,0,0,0,0.0
3052,0,0,0,0,0.0
3053,592,0,25,0,2.0
3054,0,0,0,0,0.0
3055,0,0,0,0,0.0
3056,0,0,0,0,0.0
3057,0,0,0,0,0.0
3058,448,0,0,0,1.0
3059,304,0,25,0,3.0
3060,208,0,0,0,1.0
3061,1248,0,0,0,2.0
3062,2608,1,75,3,5.0
3063,0,0,0,0,0.0
3064,0,0,0,0,0.0
3065,0,0,0,0,0.0
3066,0,0,0,0,0.0
3067,0,0,0,0,0.0
3068,192,0,0,0,1.0
3069,0,0,0,0,0.0
3070,0,0,0,0,0.0
3071,9552,1,150,4,2.0
3072,80,0,0,0,1.0
3073,544,0,0,0,1.0
3074,512,0,0,0,2.0
3075,0,0,0,0,0.0
3076,64,0,0,0,2.0
3077,96,0,0,0,1.0
3078,0,0,0,0,0.0
3079,0,0,0,0,0.0
3080,0,0,0,0,0.0
3081,0,0,0,0,0.0
3082,272,0,0,0,2.0
3083,0,0,0,0,0.0
3084,16,0,0,2,1.0
3085,0,0,0,0,0.0
3086,800,0,0,0,1.0
3087,0,0,0,0,0.0
3088,15040,0,150,3,1.0
3089,0,0,0,0,0.0
3090,800,0,0,0,1.0
3091,0,0,0,0,0.0
3092,0,0,0,0,0.0
3093,0,0,0,0,0.0
3094,0,0,0,0,0.0
3095,4512,1,50,1,5.0
3096,0,0,0,0,0.0
3097,576,0,0,0,1.0
3098,176,0,0,0,1.0
3099,0,0,0,0,0.0
3100,0,0,0,0,0.0
3101,496,0,0,0,1.0
3102,0,0,0,0,0.0
3103,240,0,0,1,1.0
3104,192,0,0,0,1.0
3105,0,0,0,0,0.0
3106,0,0,0,0,1.0
3107,0,0,0,0,0.0
3108,0,0,0,0,1.0
3109,16,0,0,0,1.0
3110,0,0,0,0,0.0
3111,0,0,0,0,0.0
3112,1152,0,0,0,1.0
3113,0,0,0,0,0.0
3114,3328,0,0,0,1.0
3115,0,0,0,0,0.0
3116,1872,0,125,1,2.0
3117,16,0,0,0,1.0
3118,0,0,0,0,0.0
3119,0,0,0,0,0.0
3120,736,0,0,0,2.0
3121,19888,1,0,0,1.0
3122,0,0,0,0,0.0
3123,0,0,0,0,0.0
3124,736,0,0,0,1.0
3125,448,0,175,0,2.0
3126,0,0,0,0,0.0
3127,688,0,0,0,1.0
3128,0,0,0,0,0.0
3129,1744,0,0,1,2.0
3130,96,0,0,0,1.0
3131,0,0,0,0,0.0
3132,544,0,0,0,1.0
3133,0,0,0,0,0.0
3134,0,0,0,0,0.0
3135,0,0,0,0,0.0
3136,32,0,0,0,1.0
3137,16,0,0,0,1.0
3138,0,0,0,0,0.0
3139,0,0,0,0,0.0
3140,0,0,0,0,0.0
3141,0,0,0,0,0.0
3142,0,0,0,0,0.0
3143,0,0,0,0,0.0
3144,0,0,0,0,0.0
3145,3392,0,25,2,3.0
3146,64,0,0,0,1.0
3147,0,0,0,0,0.0
3148,304,0,0,1,3.0
3149,0,0,0,0,0.0
3150,9200,0,150,2,2.0
3151,0,0,0,0,0.0
3152,224,0,0,0,1.0
3153,0,0,0,0,0.0
3154,0,0,0,0,0.0
3155,0,0,0,0,0.0
3156,0,0,0,0,0.0
3157,6944,0,0,2,1.0
3158,784,0,50,0,4.0
3159,0,0,0,0,0.0
3160,0,0,0,0,0.0
3161,672,0,25,2,1.0
3162,32,0,0,0,1.0
3163,0,0,0,0,0.0
3164,832,0,25,0,1.0
3165,0,0,0,0,0.0
3166,2160,0,0,0,1.0
3167,32,0,0,0,1.0
3168,1984,0,0,0,1.0
3169,32,0,0,0,1.0
3170,704,0,0,0,2.0
3171,2304,0,0,1,1.0
3172,0,0,0,0,0.0
3173,80,0,0,1,1.0
3174,240,0,0,1,1.0
3175,96,0,0,0,1.0
3176,800,0,25,1,3.0
3177,0,0,0,0,0.0
3178,0,0,0,0,0.0
3179,0,0,0,0,0.0
3180,1728,0,0,0,2.0
3181,496,0,0,3,1.0
3182,0,0,0,0,0.0
3183,0,0,0,0,0.0
3184,1040,0,50,0,1.0
3185,0,0,0,0,0.0
3186,0,0,0,0,0.0
3187,0,0,0,0,0.0
3188,352,0,0,0,1.0
3189,0,0,0,0,0.0
3190,0,0,0,0,0.0
3191,656,0,0,0,3.0
3192,1312,0,25,3,1.0
3193,0,0,0,0,0.0
3194,464,0,0,1,2.0
3195,16,0,0,0,1.0
3196,0,0,0,0,0.0
3197,0,0,0,0,0.0
3198,0,0,0,0,0.0
3199,80,0,0,0,1.0
3200,0,0,0,0,0.0
3201,0,0,0,0,0.0
3202,0,0,0,0,0.0
3203,0,0,0,0,0.0
3204,384,0,0,0,1.0
3205,0,0,0,0,0.0
3206,0,0,0,0,0.0
3207,1024,0,0,0,1.0
3208,0,0,0,0,0.0
3209,0,0,0,0,0.0
3210,160,0,0,1,1.0
3211,0,0,0,0,0.0
3212,0,0,0,0,0.0
3213,464,0,0,0,1.0
3214,0,0,0,0,0.0
3215,0,0,0,0,0.0
3216,0,0,0,0,0.0
3217,0,0,0,0,0.0
3218,0,0,0,0,0.0
3219,0,0,0,0,0.0
3220,0,0,0,0,0.0
3221,0,0,0,0,0.0
3222,2064,1,25,0,5.0
3223,16,0,0,0,1.0
3224,256,0,0,0,1.0
3225,0,0,0,0,0.0
3226,16,0,0,0,1.0
3227,0,0,0,0,0.0
3228,3328,0,0,2,1.0
3229,0,0,0,0,0.0
3230,0,0,0,0,0.0
3231,0,0,0,0,0.0
3232,192,0,0,0,1.0
3233,0,0,0,0,0.0
3234,96,0,0,0,1.0
3235,0,0,0,0,0.0
3236,160,0,0,0,1.0
3237,0,0,0,0,0.0
3238,1952,0,150,1,1.0
3239,0,0,0,0,0.0
3240,0,0,0,0,0.0
3241,240,0,0,0,1.0
3242,0,0,0,0,0.0
3243,0,0,0,0,0.0
3244,0,0,0,0,0.0
3245,336,0,125,0,1.0
3246,0,0,0,0,0.0
3247,0,0,0,0,0.0
3248,0,0,0,0,0.0
3249,0,0,0,0,0.0
3250,0,0,0,0,0.0
3251,3856,0,0,0,1.0
3252,16,0,0,0,1.0
3253,0,0,0,0,0.0
3254,0,0,0,0,0.0
3255,704,0,0,0,1.0
3256,0,0,0,0,0.0
3257,0,0,0,0,0.0
3258,0,0,0,0,0.0
3259,0,0,0,0,0.0
3260,0,0,0,0,0.0
3261,0,0,0,0,0.0
3262,0,0,0,0,0.0
3263,16,0,25,0,1.0
3264,16,0,0,1,1.0
3265,288,0,0,0,1.0
3266,0,0,0,0,0.0
3267,0,0,0,0,0.0
3268,0,0,0,0,0.0
3269,0,0,0,0,0.0
3270,0,0,0,0,0.0
3271,160,0,0,0,2.0
3272,464,0,0,0,1.0
3273,80,0,0,0,1.0
3274,672,0,0,0,2.0
3275,0,0,0,0,0.0
3276,4432,0,0,0,1.0
3277,128,0,0,0,1.0
3278,496,0,0,0,3.0
3279,0,0,0,0,0.0
3280,1360,0,25,0,2.0
3281,0,0,0,0,0.0
3282,0,0,0,0,0.0
3283,0,0,0,0,0.0
3284,0,0,0,0,0.0
3285,3008,0,0,7,4.0
3286,0,0,0,0,0.0
3287,160,0,0,0,1.0
3288,0,0,0,0,0.0
3289,0,0,0,0,0.0
3290,0,0,0,0,0.0
3291,0,0,0,0,0.0
3292,0,0,0,0,0.0
3293,0,0,0,0,0.0
3294,0,0,0,0,0.0
3295,1216,0,0,0,2.0
3296,32,0,0,0,2.0
3297,0,0,0,0,0.0
3298,1120,0,0,0,2.0
3299,0,0,0,0,0.0
3300,0,0,0,0,0.0
3301,128,0,0,0,1.0
3302,0,0,0,0,0.0
3303,0,0,0,0,0.0
3304,608,0,0,0,2.0
3305,0,0,0,0,0.0
3306,2640,0,0,1,2.0
3307,0,0,0,0,0.0
3308,0,0,0,0,0.0
3309,208,0,0,0,3.0
3310,0,0,0,0,0.0
3311,0,0,0,0,0.0
3312,0,0,0,0,0.0
3313,672,0,0,1,2.0
3314,160,1,0,0,1.0
3315,416,0,25,0,3.0
3316,2640,0,0,0,5.0
3317,0,0,0,0,0.0
3318,0,0,0,0,0.0
3319,0,0,0,0,0.0
3320,0,0,0,0,0.0
3321,3840,0,0,0,1.0
3322,288,0,0,0,1.0
3323,0,0,0,0,0.0
3324,0,0,0,0,0.0
3325,0,0,0,0,0.0
3326,0,0,0,0,1.0
3327,0,0,0,0,0.0
3328,144,0,0,0,1.0
3329,0,0,0,0,0.0
3330,5520,0,0,0,5.0
3331,0,0,0,0,0.0
3332,368,0,0,0,1.0
3333,0,0,0,0,0.0
3334,1792,0,0,0,1.0
3335,0,0,0,0,0.0
3336,0,0,0,0,0.0
3337,0,0,0,0,0.0
3338,0,0,0,0,0.0
3339,32,0,0,0,1.0
3340,0,0,0,0,0.0
3341,0,0,0,0,0.0
3342,4208,0,0,0,1.0
3343,2704,0,50,0,4.0
3344,1296,0,0,0,2.0
3345,176,0,0,0,1.0
3346,15664,0,0,0,6.0
3347,0,0,0,0,0.0
3348,0,0,0,0,0.0
3349,0,0,0,0,0.0
3350,272,0,0,0,2.0
3351,0,0,0,0,0.0
3352,336,0,0,1,1.0
3353,416,1,0,0,1.0
3354,240,0,0,0,1.0
3355,0,0,0,0,0.0
3356,96,0,0,0,1.0
3357,0,0,0,0,0.0
3358,0,0,0,0,0.0
3359,0,0,0,0,0.0
3360,0,0,0,0,0.0
3361,224,0,0,0,2.0
3362,7056,0,0,1,3.0
3363,0,0,0,0,0.0
3364,0,0,0,0,0.0
3365,896,0,0,0,1.0
3366,0,0,0,0,0.0
3367,0,0,0,0,0.0
3368,0,0,0,0,0.0
3369,880,0,0,0,1.0
3370,0,0,0,0,0.0
3371,0,0,0,0,0.0
3372,0,0,0,0,0.0
3373,5648,3,0,0,1.0
3374,0,0,0,0,0.0
3375,0,0,0,0,0.0
3376,0,0,0,0,0.0
3377,160,0,0,1,1.0
3378,0,0,0,0,0.0
3379,16,0,0,0,1.0
3380,1680,0,25,4,2.0
3381,160,0,0,0,1.0
3382,0,0,0,0,0.0
3383,0,0,0,0,0.0
3384,0,0,0,0,0.0
3385,0,0,0,0,0.0
3386,1904,3,0,2,1.0
3387,560,0,0,0,1.0
3388,0,0,0,0,0.0
3389,0,0,0,0,0.0
3390,0,0,0,0,0.0
3391,0,0,0,0,0.0
3392,0,0,0,0,0.0
3393,0,0,0,0,0.0
3394,1600,0,0,0,3.0
3395,0,0,0,0,0.0
3396,0,0,0,0,0.0
3397,160,0,0,0,2.0
3398,0,0,0,0,0.0
3399,0,0,0,0,0.0
3400,2864,1,100,1,3.0
3401,0,0,0,0,0.0
3402,3392,0,25,1,3.0
3403,0,0,0,0,0.0
3404,256,0,0,0,1.0
3405,0,0,0,0,0.0
3406,0,0,0,0,0.0
3407,0,0,0,0,0.0
3408,4480,0,25,0,3.0
3409,14208,0,150,2,4.0
3410,0,0,0,0,0.0
3411,0,0,0,0,0.0
3412,0,0,0,0,0.0
3413,1520,0,0,0,1.0
3414,0,0,0,0,0.0
3415,0,0,0,0,0.0
3416,0,0,0,0,0.0
3417,16,0,0,0,1.0
3418,1136,0,0,2,1.0
3419,0,0,0,0,0.0
3420,384,0,0,0,2.0
3421,0,0,0,0,0.0
3422,0,0,0,0,0.0
3423,0,0,0,0,0.0
3424,0,0,0,0,0.0
3425,448,0,0,0,1.0
3426,0,0,0,0,0.0
3427,48,0,50,1,2.0
3428,0,0,0,0,0.0
3429,0,0,0,0,0.0
3430,144,0,0,0,1.0
3431,0,0,0,0,0.0
3432,1488,0,0,0,2.0
3433,0,0,0,0,0.0
3434,80,0,0,0,2.0
3435,0,0,0,0,0.0
3436,0,0,0,0,0.0
3437,0,0,0,0,0.0
3438,0,0,0,0,0.0
3439,4784,0,0,0,3.0
3440,0,0,0,0,0.0
3441,0,0,0,0,1.0
3442,0,0,0,0,0.0
3443,672,0,0,0,1.0
3444,32,0,0,0,1.0
3445,0,0,0,0,0.0
3446,368,0,0,0,1.0
3447,0,0,0,0,0.0
3448,0,0,0,0,0.0
3449,0,0,0,0,0.0
3450,0,0,0,0,0.0
3451,12608,1,225,1,1.0
3452,0,0,0,0,0.0
3453,400,0,0,0,1.0
3454,0,0,0,0,0.0
3455,0,0,0,0,0.0
3456,0,0,0,0,0.0
3457,0,0,0,0,0.0
3458,96,0,0,0,1.0
3459,0,0,0,0,0.0
3460,0,0,0,0,0.0
3461,0,0,0,0,0.0
3462,0,0,0,0,0.0
3463,0,0,0,0,0.0
3464,0,0,0,0,0.0
3465,6144,1,0,3,3.0
3466,160,0,0,0,1.0
3467,0,0,0,0,0.0
3468,64,0,0,0,1.0
3469,0,0,0,0,0.0
3470,2656,0,25,1,1.0
3471,0,0,0,0,0.0
3472,5200,0,0,0,2.0
3473,928,0,0,0,2.0
3474,0,0,0,0,0.0
3475,128,0,0,0,1.0
3476,0,0,0,0,0.0
3477,20928,1,25,1,3.0
3478,2512,1,0,0,1.0
3479,96,0,0,0,1.0
3480,64,0,0,0,1.0
3481,0,0,0,0,0.0
3482,0,0,0,0,0.0
3483,176,0,25,0,1.0
3484,528,0,0,1,3.0
3485,0,0,0,0,0.0
3486,224,1,0,0,2.0
3487,0,0,0,0,0.0
3488,112,0,0,0,1.0
3489,0,0,0,0,0.0
3490,2288,0,0,4,1.0
3491,10400,0,0,0,4.0
3492,0,0,0,0,0.0
3493,0,0,0,0,0.0
3494,0,0,0,0,0.0
3495,0,0,0,0,0.0
3496,0,0,0,0,0.0
3497,0,0,0,0,0.0
3498,0,0,0,0,0.0
3499,32,0,0,0,1.0
3500,0,0,0,0,0.0
3501,0,0,0,0,0.0
3502,0,0,0,0,0.0
3503,0,0,0,0,0.0
3504,1120,0,0,0,2.0
3505,0,0,0,0,0.0
3506,0,0,0,0,0.0
3507,5888,1,100,3,2.0
3508,96,0,0,0,1.0
3509,368,0,0,0,1.0
3510,0,0,0,0,0.0
3511,0,0,0,0,0.0
3512,0,0,0,0,0.0
3513,272,0,0,0,1.0
3514,0,0,0,0,0.0
3515,0,0,0,0,0.0
3516,0,0,0,0,0.0
3517,0,0,0,0,0.0
3518,3952,0,0,0,1.0
3519,5152,0,50,0,4.0
3520,96,0,0,0,1.0
3521,976,0,0,0,1.0
3522,0,0,0,0,0.0
3523,144,0,0,0,1.0
3524,0,0,0,0,0.0
3525,0,0,0,0,0.0
3526,16,0,0,0,1.0
3527,0,0,0,0,0.0
3528,816,0,0,1,3.0
3529,0,0,0,0,0.0
3530,0,0,0,0,0.0
3531,0,0,0,0,0.0
3532,0,0,0,0,0.0
3533,0,0,0,0,0.0
3534,0,0,0,0,0.0
3535,0,0,0,0,0.0
3536,0,0,0,0,0.0
3537,0,0,0,0,0.0
3538,0,0,0,0,0.0
3539,0,0,0,0,0.0
3540,0,0,0,0,0.0
3541,0,0,0,0,0.0
3542,0,0,0,0,0.0
3543,0,0,0,0,0.0
3544,0,0,0,0,0.0
3545,0,0,0,0,0.0
3546,160,0,0,0,1.0
3547,0,0,0,0,1.0
3548,0,0,0,0,0.0
3549,0,0,0,0,0.0
3550,20784,0,0,0,5.0
3551,0,0,0,0,0.0
3552,5072,0,0,1,4.0
3553,0,0,0,0,0.0
3554,96,0,0,0,1.0
3555,0,0,0,0,0.0
3556,512,0,0,0,2.0
3557,0,0,0,0,0.0
3558,0,0,0,0,0.0
3559,128,0,0,0,2.0
3560,0,0,0,0,0.0
3561,8176,0,375,4,6.0
3562,5248,0,0,0,5.0
3563,992,0,0,0,5.0
3564,0,0,0,0,0.0
3565,0,0,0,0,0.0
3566,0,0,0,0,0.0
3567,1856,0,0,1,3.0
3568,0,0,0,0,0.0
3569,16,0,0,0,1.0
3570,672,0,0,2,2.0
3571,1232,0,0,0,2.0
3572,0,0,0,0,0.0
3573,0,0,0,0,0.0
3574,1168,0,0,0,2.0
3575,0,0,0,0,1.0
3576,0,0,0,0,0.0
3577,768,0,0,0,1.0
3578,0,0,0,0,0.0
3579,0,0,0,0,0.0
3580,1744,0,250,3,1.0
3581,0,0,0,0,0.0
3582,0,0,0,0,0.0
3583,0,0,0,0,0.0
3584,0,0,0,0,0.0
3585,0,0,0,0,0.0
3586,1008,0,75,0,2.0
3587,0,0,0,0,0.0
3588,0,0,0,0,0.0
3589,0,0,0,0,0.0
3590,0,0,0,0,0.0
3591,5984,0,0,0,6.0
3592,0,0,0,0,0.0
3593,1120,0,50,1,1.0
3594,64,0,0,0,1.0
3595,48,0,0,0,1.0
3596,0,0,0,0,0.0
3597,0,0,0,0,0.0
3598,0,0,0,0,0.0
3599,0,0,0,0,0.0
3600,0,0,0,0,0.0
3601,0,0,0,0,0.0
3602,0,0,0,0,0.0
3603,0,0,0,0,0.0
3604,384,0,0,0,1.0
3605,0,0,0,0,0.0
3606,12544,1,50,4,6.0
3607,0,0,0,0,0.0
3608,0,0,0,0,0.0
3609,240,0,0,0,1.0
3610,0,0,0,0,0.0
3611,0,0,0,0,0.0
3612,2128,0,0,0,1.0
3613,0,0,0,0,0.0
3614,16,0,0,0,1.0
3615,128,0,0,0,1.0
3616,0,0,0,0,0.0
3617,0,0,0,0,0.0
3618,0,0,0,0,0.0
3619,0,0,0,0,0.0
3620,0,0,0,0,0.0
3621,0,0,0,0,0.0
3622,0,0,0,0,0.0
3623,0,0,0,0,0.0
3624,0,0,0,0,0.0
3625,976,0,0,0,1.0
3626,96,0,0,0,1.0
3627,0,0,0,0,0.0
3628,0,0,0,0,0.0
3629,0,0,0,0,0.0
3630,0,0,0,0,0.0
3631,912,0,0,0,1.0
3632,0,0,0,0,0.0
3633,0,0,0,0,0.0
3634,0,0,0,0,0.0
3635,0,0,0,0,0.0
3636,800,0,0,0,1.0
3637,0,0,0,0,0.0
3638,0,0,0,0,0.0
3639,0,0,0,0,0.0
3640,0,0,0,0,0.0
3641,0,0,0,0,0.0
3642,1808,0,0,0,2.0
3643,0,0,0,0,0.0
3644,320,0,0,0,1.0
3645,0,0,0,0,0.0
3646,0,0,0,0,0.0
3647,0,0,0,0,0.0
3648,0,0,0,0,1.0
3649,0,0,0,0,0.0
3650,64,0,0,0,1.0
3651,0,0,0,0,0.0
3652,752,0,0,0,1.0
3653,0,0,0,0,0.0
3654,0,0,0,0,0.0
3655,0,0,0,0,0.0
3656,64,0,0,0,1.0
3657,0,0,0,0,0.0
3658,0,0,0,0,0.0
3659,0,0,0,0,0.0
3660,0,0,0,0,0.0
3661,0,0,0,0,0.0
3662,0,0,0,0,0.0
3663,0,0,0,0,0.0
3664,0,0,0,0,0.0
3665,0,0,0,0,0.0
3666,0,0,0,0,0.0
3667,0,0,0,0,0.0
3668,0,0,0,0,0.0
3669,80,0,0,0,1.0
3670,0,0,0,0,0.0
3671,0,0,0,0,0.0
3672,128,0,25,1,2.0
3673,0,0,0,0,0.0
3674,576,0,0,0,1.0
3675,0,0,0,0,0.0
3676,880,0,0,3,2.0
3677,7072,0,0,2,3.0
3678,0,0,0,0,0.0
3679,0,0,0,0,0.0
3680,0,0,0,0,0.0
3681,0,0,0,0,0.0
3682,0,0,0,0,0.0
3683,16,0,0,0,1.0
3684,0,0,0,0,0.0
3685,1344,0,0,0,1.0
3686,0,0,0,0,0.0
3687,176,0,0,0,1.0
3688,80,0,0,0,1.0
3689,912,0,0,0,2.0
3690,0,0,0,0,0.0
3691,0,0,0,0,0.0
3692,0,0,0,0,0.0
3693,0,0,0,0,0.0
3694,96,0,0,0,1.0
3695,18096,3,0,4,7.0
3696,0,0,0,0,0.0
3697,0,0,0,0,0.0
3698,0,0,0,0,0.0
3699,784,0,0,0,1.0
3700,0,0,0,0,0.0
3701,400,0,0,0,1.0
3702,0,0,0,0,0.0
3703,0,0,0,0,0.0
3704,848,0,0,0,2.0
3705,0,0,0,0,0.0
3706,0,0,0,0,0.0
3707,480,0,50,1,1.0
3708,0,0,0,0,0.0
3709,6368,1,100,0,2.0
3710,992,0,25,2,1.0
3711,80,0,0,0,1.0
3712,1232,0,25,1,5.0
3713,0,0,0,0,0.0
3714,0,0,0,0,0.0
3715,0,0,0,0,0.0
3716,192,0,0,0,1.0
3717,464,1,25,0,2.0
3718,0,0,0,0,0.0
3719,432,0,25,0,2.0
3720,8624,0,0,0,7.0
3721,0,0,0,0,0.0
3722,0,0,0,0,0.0
3723,0,0,0,0,0.0
3724,96,0,0,0,1.0
3725,544,0,0,0,1.0
3726,0,0,0,0,0.0
3727,272,0,0,0,2.0
3728,48,0,0,0,1.0
3729,0,0,0,0,0.0
3730,272,0,0,0,2.0
3731,400,0,0,0,2.0
3732,464,0,0,0,1.0
3733,0,0,0,0,0.0
3734,0,0,0,0,0.0
3735,288,0,0,0,1.0
3736,576,0,0,0,1.0
3737,160,0,0,0,1.0
3738,0,0,0,0,0.0
3739,0,0,0,0,0.0
3740,0,0,0,0,0.0
3741,0,0,0,0,0.0
3742,0,0,0,0,0.0
3743,48,0,0,0,1.0
3744,0,0,0,0,0.0
3745,0,0,0,0,0.0
3746,16,0,0,0,1.0
3747,0,0,0,0,0.0
3748,256,0,0,0,2.0
3749,0,0,0,0,0.0
3750,560,0,25,0,1.0
3751,0,0,0,0,0.0
3752,0,0,0,0,0.0
3753,0,0,0,0,0.0
3754,944,0,0,0,2.0
3755,96,0,0,0,1.0
3756,0,0,0,0,0.0
3757,0,0,0,0,0.0
3758,2304,0,0,0,1.0
3759,0,0,0,0,0.0
3760,2512,0,0,0,1.0
3761,0,0,0,0,0.0
3762,0,0,0,0,0.0
3763,0,0,0,0,0.0
